phase,epoch,step,loss,lr
full,1,1,3.110129,2.061855670103093e-07
full,1,2,3.355292,4.123711340206186e-07
full,1,3,1.891572,6.185567010309279e-07
full,1,4,2.619527,8.247422680412372e-07
full,1,5,2.703904,1.0309278350515464e-06
full,1,6,2.609203,1.2371134020618557e-06
full,1,7,1.269562,1.4432989690721649e-06
full,1,8,2.159825,1.6494845360824744e-06
full,1,9,3.312876,1.8556701030927837e-06
full,1,10,3.060136,2.061855670103093e-06
full,1,11,1.886964,2.268041237113402e-06
full,1,12,1.609389,2.4742268041237115e-06
full,1,13,1.52481,2.680412371134021e-06
full,1,14,1.846616,2.8865979381443297e-06
full,1,15,1.061335,3.0927835051546395e-06
full,1,16,2.429509,3.298969072164949e-06
full,1,17,1.413814,3.5051546391752577e-06
full,1,18,1.420315,3.7113402061855674e-06
full,1,19,1.316363,3.917525773195877e-06
full,1,20,1.516019,4.123711340206186e-06
full,1,21,1.522187,4.329896907216495e-06
full,1,22,1.155374,4.536082474226804e-06
full,1,23,1.293923,4.742268041237113e-06
full,1,24,2.197641,4.948453608247423e-06
full,1,25,1.414235,5.154639175257732e-06
full,1,26,1.463728,5.360824742268042e-06
full,1,27,3.201072,5.567010309278351e-06
full,1,28,1.277195,5.7731958762886594e-06
full,1,29,2.131742,5.979381443298969e-06
full,1,30,1.110188,6.185567010309279e-06
full,1,31,1.409539,6.391752577319588e-06
full,1,32,2.276185,6.597938144329898e-06
full,1,33,2.683609,6.804123711340207e-06
full,1,34,2.066841,7.010309278350515e-06
full,1,35,1.492889,7.216494845360825e-06
full,1,36,1.741673,7.422680412371135e-06
full,1,37,1.172342,7.628865979381444e-06
full,1,38,1.897551,7.835051546391754e-06
full,1,39,1.280945,8.041237113402063e-06
full,1,40,3.157247,8.247422680412371e-06
full,1,41,2.65906,8.453608247422681e-06
full,1,42,3.245372,8.65979381443299e-06
full,1,43,1.347306,8.865979381443299e-06
full,1,44,2.540974,9.072164948453609e-06
full,1,45,1.292629,9.278350515463918e-06
full,1,46,2.41862,9.484536082474226e-06
full,1,47,2.545226,9.690721649484536e-06
full,1,48,2.399013,9.896907216494846e-06
full,1,49,4.259733,1.0103092783505156e-05
full,1,50,1.170613,1.0309278350515464e-05
full,1,51,2.871403,1.0515463917525775e-05
full,1,52,2.096632,1.0721649484536083e-05
full,1,53,2.011758,1.0927835051546391e-05
full,1,54,1.196351,1.1134020618556703e-05
full,1,55,1.525473,1.134020618556701e-05
full,1,56,1.296756,1.1546391752577319e-05
full,1,57,1.163326,1.175257731958763e-05
full,1,58,1.553192,1.1958762886597938e-05
full,1,59,1.557185,1.2164948453608248e-05
full,1,60,0.913724,1.2371134020618558e-05
