mode,metric,mean,std,ci_95_low,ci_95_high,n_folds
baseline,micro_f1,0.876955,0.014074,0.866887,0.887023,10
baseline,macro_f1,0.825719,0.024828,0.807958,0.843480,10
baseline,accuracy,0.876955,0.014074,0.866887,0.887023,10
baseline,hard_slice_macro_f1,0.494958,0.045686,0.462277,0.527639,10
is,micro_f1,0.863407,0.013440,0.853793,0.873021,10
is,macro_f1,0.815060,0.020360,0.800495,0.829624,10
is,accuracy,0.863407,0.013440,0.853793,0.873021,10
is,hard_slice_macro_f1,0.472970,0.066890,0.425120,0.520820,10
cl,micro_f1,0.845474,0.015697,0.834244,0.856703,10
cl,macro_f1,0.803097,0.025276,0.785016,0.821178,10
cl,accuracy,0.845474,0.015697,0.834244,0.856703,10
cl,hard_slice_macro_f1,0.401479,0.058969,0.359295,0.443663,10
is_cl,micro_f1,0.815346,0.013990,0.805338,0.825354,10
is_cl,macro_f1,0.758610,0.016598,0.746736,0.770483,10
is_cl,accuracy,0.815346,0.013990,0.805338,0.825354,10
is_cl,hard_slice_macro_f1,0.357671,0.060771,0.314198,0.401144,10
