phase,epoch,step,loss,lr
full,1,1,1.629465,2.061855670103093e-07
full,1,2,1.652539,4.123711340206186e-07
full,1,3,2.285373,6.185567010309279e-07
full,1,4,1.368693,8.247422680412372e-07
full,1,5,1.131291,1.0309278350515464e-06
full,1,6,1.482634,1.2371134020618557e-06
full,1,7,1.127342,1.4432989690721649e-06
full,1,8,1.402665,1.6494845360824744e-06
full,1,9,1.011455,1.8556701030927837e-06
full,1,10,2.711452,2.061855670103093e-06
full,1,11,1.342067,2.268041237113402e-06
full,1,12,2.684296,2.4742268041237115e-06
full,1,13,1.559453,2.680412371134021e-06
full,1,14,1.50682,2.8865979381443297e-06
full,1,15,1.191159,3.0927835051546395e-06
full,1,16,1.412643,3.298969072164949e-06
full,1,17,1.256383,3.5051546391752577e-06
full,1,18,2.810407,3.7113402061855674e-06
full,1,19,2.688239,3.917525773195877e-06
full,1,20,2.957443,4.123711340206186e-06
full,1,21,1.961265,4.329896907216495e-06
full,1,22,2.932401,4.536082474226804e-06
full,1,23,2.830776,4.742268041237113e-06
full,1,24,1.968392,4.948453608247423e-06
full,1,25,2.108313,5.154639175257732e-06
full,1,26,1.386428,5.360824742268042e-06
full,1,27,1.056574,5.567010309278351e-06
full,1,28,2.735963,5.7731958762886594e-06
full,1,29,1.674936,5.979381443298969e-06
full,1,30,2.192836,6.185567010309279e-06
full,1,31,1.829428,6.391752577319588e-06
full,1,32,2.22387,6.597938144329898e-06
full,1,33,1.171736,6.804123711340207e-06
full,1,34,2.151674,7.010309278350515e-06
full,1,35,1.697028,7.216494845360825e-06
full,1,36,1.531638,7.422680412371135e-06
full,1,37,1.291327,7.628865979381444e-06
full,1,38,2.259302,7.835051546391754e-06
full,1,39,2.575581,8.041237113402063e-06
full,1,40,4.073888,8.247422680412371e-06
full,1,41,1.392897,8.453608247422681e-06
full,1,42,1.418019,8.65979381443299e-06
full,1,43,1.509389,8.865979381443299e-06
full,1,44,2.017819,9.072164948453609e-06
full,1,45,2.062801,9.278350515463918e-06
full,1,46,1.23682,9.484536082474226e-06
