phase,epoch,step,loss,lr
full,1,1,2.81995,2.061855670103093e-07
full,1,2,1.27887,4.123711340206186e-07
full,1,3,1.19663,6.185567010309279e-07
full,1,4,1.192834,8.247422680412372e-07
full,1,5,1.664403,1.0309278350515464e-06
full,1,6,1.263916,1.2371134020618557e-06
full,1,7,1.571813,1.4432989690721649e-06
full,1,8,1.422465,1.6494845360824744e-06
full,1,9,1.841073,1.8556701030927837e-06
full,1,10,1.522579,2.061855670103093e-06
full,1,11,2.750615,2.268041237113402e-06
full,1,12,1.920112,2.4742268041237115e-06
full,1,13,1.565544,2.680412371134021e-06
full,1,14,1.169804,2.8865979381443297e-06
full,1,15,1.471771,3.0927835051546395e-06
full,1,16,2.186856,3.298969072164949e-06
full,1,17,2.13542,3.5051546391752577e-06
full,1,18,2.188386,3.7113402061855674e-06
full,1,19,2.778181,3.917525773195877e-06
full,1,20,2.09093,4.123711340206186e-06
full,1,21,1.339706,4.329896907216495e-06
full,1,22,1.576428,4.536082474226804e-06
full,1,23,1.380593,4.742268041237113e-06
full,1,24,2.523517,4.948453608247423e-06
full,1,25,3.086449,5.154639175257732e-06
full,1,26,1.422504,5.360824742268042e-06
full,1,27,2.16889,5.567010309278351e-06
full,1,28,1.707953,5.7731958762886594e-06
full,1,29,1.543308,5.979381443298969e-06
full,1,30,1.255622,6.185567010309279e-06
full,1,31,2.707411,6.391752577319588e-06
full,1,32,1.318783,6.597938144329898e-06
full,1,33,2.299959,6.804123711340207e-06
full,1,34,2.756173,7.010309278350515e-06
full,1,35,2.403245,7.216494845360825e-06
full,1,36,2.99892,7.422680412371135e-06
full,1,37,0.906915,7.628865979381444e-06
full,1,38,1.680397,7.835051546391754e-06
full,1,39,1.078356,8.041237113402063e-06
full,1,40,3.377305,8.247422680412371e-06
full,1,41,1.9848,8.453608247422681e-06
full,1,42,3.059957,8.65979381443299e-06
full,1,43,1.614822,8.865979381443299e-06
full,1,44,2.624489,9.072164948453609e-06
full,1,45,1.843212,9.278350515463918e-06
full,1,46,2.104762,9.484536082474226e-06
full,1,47,1.457789,9.690721649484536e-06
full,1,48,1.25499,9.896907216494846e-06
full,1,49,1.311914,1.0103092783505156e-05
full,1,50,2.751512,1.0309278350515464e-05
full,1,51,1.908972,1.0515463917525775e-05
full,1,52,2.169657,1.0721649484536083e-05
full,1,53,1.214031,1.0927835051546391e-05
full,1,54,1.541064,1.1134020618556703e-05
full,1,55,1.158343,1.134020618556701e-05
full,1,56,2.886927,1.1546391752577319e-05
full,1,57,2.21718,1.175257731958763e-05
full,1,58,2.730025,1.1958762886597938e-05
full,1,59,2.1268,1.2164948453608248e-05
full,1,60,1.174127,1.2371134020618558e-05
full,1,61,1.920203,1.2577319587628866e-05
full,1,62,1.249722,1.2783505154639176e-05
full,1,63,3.453932,1.2989690721649485e-05
full,1,64,2.295023,1.3195876288659795e-05
full,1,65,1.994707,1.3402061855670103e-05
full,1,66,2.250012,1.3608247422680415e-05
full,1,67,1.103331,1.3814432989690723e-05
full,1,68,2.640367,1.402061855670103e-05
full,1,69,1.273089,1.4226804123711342e-05
full,1,70,1.553573,1.443298969072165e-05
full,1,71,0.860947,1.4639175257731958e-05
full,1,72,2.024476,1.484536082474227e-05
full,1,73,2.257619,1.5051546391752578e-05
full,1,74,2.747759,1.5257731958762888e-05
full,1,75,3.024248,1.5463917525773197e-05
full,1,76,1.799277,1.5670103092783507e-05
full,1,77,1.27477,1.5876288659793813e-05
full,1,78,1.393322,1.6082474226804127e-05
full,1,79,2.944232,1.6288659793814433e-05
full,1,80,2.026337,1.6494845360824743e-05
full,1,81,1.516112,1.6701030927835052e-05
full,1,82,1.216119,1.6907216494845362e-05
full,1,83,2.897095,1.7113402061855672e-05
full,1,84,1.427395,1.731958762886598e-05
full,1,85,2.02534,1.752577319587629e-05
full,1,86,1.169535,1.7731958762886598e-05
full,1,87,2.255886,1.793814432989691e-05
full,1,88,1.271118,1.8144329896907217e-05
full,1,89,0.897885,1.8350515463917527e-05
full,1,90,1.625541,1.8556701030927837e-05
full,1,91,1.073915,1.8762886597938147e-05
full,1,92,1.020807,1.8969072164948453e-05
full,1,93,1.517228,1.9175257731958766e-05
full,1,94,0.870332,1.9381443298969072e-05
full,1,95,0.925891,1.9587628865979382e-05
full,1,96,2.731177,1.9793814432989692e-05
full,1,97,1.201558,2e-05
full,1,98,1.233433,1.998691955526488e-05
full,1,99,1.281717,1.997383911052976e-05
full,1,100,0.888099,1.9960758665794638e-05
full,1,101,1.966766,1.9947678221059518e-05
full,1,102,1.24114,1.9934597776324394e-05
full,1,103,1.065565,1.9921517331589274e-05
full,1,104,0.894497,1.9908436886854154e-05
full,1,105,0.826511,1.9895356442119034e-05
full,1,106,1.606739,1.9882275997383914e-05
full,1,107,1.887315,1.9869195552648794e-05
full,1,108,0.944518,1.985611510791367e-05
