phase,epoch,step,loss,lr
clean,1,1,1.065866,2.8571428571428573e-06
clean,1,2,2.413798,5.7142857142857145e-06
clean,1,3,7.119098,8.571428571428571e-06
clean,1,4,1.091094,1.1428571428571429e-05
clean,1,5,1.142809,1.4285714285714287e-05
clean,1,6,1.065005,1.7142857142857142e-05
clean,1,7,0.912206,2e-05
clean,1,8,1.050375,1.9831932773109244e-05
clean,1,9,0.638228,1.9663865546218487e-05
clean,1,10,0.90192,1.9495798319327733e-05
clean,1,11,0.876362,1.9327731092436976e-05
clean,1,12,2.302005,1.9159663865546222e-05
clean,1,13,2.600015,1.899159663865546e-05
clean,1,14,1.235695,1.8823529411764708e-05
clean,1,15,2.310598,1.865546218487395e-05
clean,1,16,2.299208,1.8487394957983196e-05
clean,1,17,0.825963,1.831932773109244e-05
clean,1,18,2.117286,1.8151260504201682e-05
clean,1,19,9.836225,1.7983193277310925e-05
clean,1,20,0.83226,1.781512605042017e-05
clean,1,21,2.0363,1.7647058823529414e-05
clean,1,22,1.82633,1.7478991596638656e-05
clean,1,23,0.893566,1.7310924369747902e-05
clean,1,24,0.547888,1.7142857142857142e-05
clean,1,25,0.705826,1.6974789915966388e-05
clean,1,26,1.506454,1.680672268907563e-05
clean,1,27,0.834156,1.6638655462184877e-05
clean,1,28,1.671383,1.647058823529412e-05
clean,1,29,0.763724,1.6302521008403362e-05
clean,1,30,0.766802,1.6134453781512605e-05
clean,1,31,0.842585,1.596638655462185e-05
clean,1,32,0.679108,1.5798319327731094e-05
clean,1,33,0.783939,1.5630252100840337e-05
clean,1,34,0.613043,1.5462184873949583e-05
clean,1,35,0.668715,1.5294117647058822e-05
clean,1,36,0.666873,1.5126050420168068e-05
clean,1,37,0.557595,1.4957983193277313e-05
clean,1,38,0.664986,1.4789915966386557e-05
clean,1,39,2.086428,1.4621848739495798e-05
clean,1,40,0.575744,1.4453781512605043e-05
clean,1,41,0.640185,1.4285714285714287e-05
clean,1,42,0.531007,1.4117647058823532e-05
clean,1,43,1.702623,1.3949579831932774e-05
clean,1,44,0.52358,1.3781512605042017e-05
