phase,epoch,step,loss,lr
clean,1,1,0.909958,5e-06
clean,1,2,1.068409,1e-05
clean,1,3,1.712345,1.5000000000000002e-05
clean,1,4,1.378237,2e-05
clean,1,5,1.290074,1.9743589743589745e-05
clean,1,6,2.009977,1.9487179487179488e-05
clean,1,7,0.94297,1.923076923076923e-05
clean,1,8,1.575351,1.8974358974358975e-05
clean,1,9,1.30707,1.8717948717948718e-05
clean,1,10,0.748123,1.8461538461538465e-05
clean,1,11,8.818542,1.8205128205128208e-05
clean,1,12,0.884469,1.794871794871795e-05
clean,1,13,1.039662,1.7692307692307694e-05
clean,1,14,0.95577,1.7435897435897438e-05
clean,1,15,1.786813,1.717948717948718e-05
clean,1,16,2.762492,1.6923076923076924e-05
clean,1,17,1.273234,1.6666666666666667e-05
clean,1,18,23.497698,1.641025641025641e-05
clean,1,19,0.920844,1.6153846153846154e-05
clean,1,20,0.945558,1.5897435897435897e-05
clean,1,21,0.746528,1.5641025641025644e-05
clean,1,22,2.178781,1.5384615384615387e-05
clean,1,23,1.627447,1.5128205128205129e-05
clean,1,24,0.927816,1.4871794871794874e-05
clean,1,25,0.86651,1.4615384615384615e-05
clean,1,26,0.644211,1.435897435897436e-05
clean,1,27,9.751069,1.4102564102564105e-05
clean,1,28,0.763997,1.3846153846153847e-05
clean,1,29,1.432479,1.3589743589743592e-05
clean,1,30,0.706924,1.3333333333333333e-05
clean,1,31,0.606785,1.3076923076923078e-05
clean,1,32,1.465393,1.2820512820512823e-05
clean,1,33,0.506274,1.2564102564102565e-05
clean,1,34,1.256412,1.230769230769231e-05
clean,1,35,0.625998,1.2051282051282051e-05
clean,1,36,1.199273,1.1794871794871796e-05
clean,1,37,0.807549,1.1538461538461538e-05
clean,1,38,0.465161,1.1282051282051283e-05
clean,1,39,0.573282,1.1025641025641028e-05
clean,1,40,0.628175,1.076923076923077e-05
clean,1,41,0.641536,1.0512820512820514e-05
clean,2,42,0.513251,1.0256410256410256e-05
clean,2,43,1.010459,1e-05
clean,2,44,0.477492,9.743589743589744e-06
clean,2,45,0.599836,9.487179487179487e-06
clean,2,46,8.587321,9.230769230769232e-06
clean,2,47,0.424813,8.974358974358976e-06
clean,2,48,0.883923,8.717948717948719e-06
clean,2,49,0.476935,8.461538461538462e-06
clean,2,50,0.467075,8.205128205128205e-06
clean,2,51,0.583859,7.948717948717949e-06
clean,2,52,0.884355,7.692307692307694e-06
clean,2,53,0.437116,7.435897435897437e-06
clean,2,54,1.663838,7.17948717948718e-06
clean,2,55,0.497908,6.923076923076923e-06
clean,2,56,0.445527,6.666666666666667e-06
clean,2,57,1.344473,6.410256410256412e-06
clean,2,58,0.282853,6.153846153846155e-06
clean,2,59,0.941134,5.897435897435898e-06
clean,2,60,0.508535,5.641025641025641e-06
clean,2,61,1.054903,5.384615384615385e-06
clean,2,62,0.327991,5.128205128205128e-06
clean,2,63,0.754054,4.871794871794872e-06
clean,2,64,0.374584,4.615384615384616e-06
clean,2,65,0.379941,4.358974358974359e-06
clean,2,66,0.716207,4.102564102564103e-06
clean,2,67,0.381203,3.846153846153847e-06
clean,2,68,0.398755,3.58974358974359e-06
clean,2,69,0.410738,3.3333333333333333e-06
clean,2,70,0.293515,3.0769230769230774e-06
clean,2,71,2.047065,2.8205128205128207e-06
clean,2,72,0.252841,2.564102564102564e-06
clean,2,73,0.856115,2.307692307692308e-06
clean,2,74,21.084091,2.0512820512820513e-06
clean,2,75,0.436178,1.794871794871795e-06
clean,2,76,10.968281,1.5384615384615387e-06
clean,2,77,0.291642,1.282051282051282e-06
clean,2,78,0.649538,1.0256410256410257e-06
clean,2,79,0.360899,7.692307692307694e-07
