phase,epoch,step,loss,lr
full,1,1,1.369598,4.0816326530612243e-07
full,1,2,1.286687,8.163265306122449e-07
full,1,3,2.361357,1.2244897959183673e-06
full,1,4,1.784037,1.6326530612244897e-06
full,1,5,1.887248,2.0408163265306125e-06
full,1,6,1.417185,2.4489795918367347e-06
full,1,7,1.614047,2.8571428571428573e-06
full,1,8,1.256364,3.2653061224489794e-06
full,1,9,2.171424,3.6734693877551024e-06
full,1,10,1.685691,4.081632653061225e-06
full,1,11,2.055373,4.489795918367348e-06
full,1,12,2.084266,4.897959183673469e-06
full,1,13,1.814289,5.306122448979593e-06
full,1,14,2.243215,5.7142857142857145e-06
full,1,15,2.393143,6.122448979591837e-06
full,1,16,2.25165,6.530612244897959e-06
full,1,17,1.810049,6.938775510204082e-06
full,1,18,2.902991,7.346938775510205e-06
full,1,19,1.664765,7.755102040816327e-06
full,1,20,1.17883,8.16326530612245e-06
full,1,21,2.46643,8.571428571428571e-06
full,1,22,1.509656,8.979591836734695e-06
full,1,23,2.603817,9.387755102040818e-06
full,1,24,2.210428,9.795918367346939e-06
full,1,25,1.374693,1.0204081632653063e-05
full,1,26,2.17933,1.0612244897959186e-05
full,1,27,2.462392,1.1020408163265306e-05
full,1,28,1.990895,1.1428571428571429e-05
full,1,29,2.708049,1.1836734693877552e-05
full,1,30,2.145506,1.2244897959183674e-05
full,1,31,2.611419,1.2653061224489798e-05
full,1,32,1.681298,1.3061224489795918e-05
full,1,33,1.870201,1.3469387755102042e-05
full,1,34,1.909548,1.3877551020408165e-05
full,1,35,2.585719,1.4285714285714287e-05
full,1,36,2.979806,1.469387755102041e-05
full,1,37,1.572888,1.510204081632653e-05
full,1,38,2.58104,1.5510204081632655e-05
full,1,39,2.082747,1.5918367346938776e-05
full,1,40,2.389377,1.63265306122449e-05
full,1,41,1.68032,1.673469387755102e-05
full,1,42,2.196045,1.7142857142857142e-05
full,1,43,1.794333,1.7551020408163266e-05
full,1,44,2.538163,1.795918367346939e-05
full,1,45,1.87207,1.836734693877551e-05
full,1,46,1.984774,1.8775510204081636e-05
full,1,47,1.540316,1.9183673469387756e-05
full,1,48,1.64685,1.9591836734693877e-05
full,1,49,1.855557,2e-05
full,1,50,1.981577,1.997412677878396e-05
full,1,51,1.590511,1.994825355756792e-05
full,1,52,2.045361,1.9922380336351877e-05
full,1,53,1.356968,1.9896507115135837e-05
full,1,54,1.099275,1.9870633893919795e-05
full,1,55,1.628204,1.9844760672703752e-05
full,1,56,1.569428,1.9818887451487713e-05
full,1,57,1.762128,1.979301423027167e-05
full,1,58,1.97153,1.9767141009055627e-05
full,1,59,1.374647,1.9741267787839588e-05
full,1,60,1.681701,1.971539456662355e-05
full,1,61,1.344913,1.9689521345407506e-05
full,1,62,1.966644,1.9663648124191463e-05
full,1,63,2.580615,1.963777490297542e-05
full,1,64,1.392679,1.961190168175938e-05
full,1,65,0.957482,1.9586028460543338e-05
full,1,66,1.537114,1.95601552393273e-05
full,1,67,1.2988,1.9534282018111256e-05
full,1,68,1.356678,1.9508408796895217e-05
full,1,69,1.240807,1.9482535575679174e-05
full,1,70,1.012091,1.945666235446313e-05
full,1,71,0.951188,1.943078913324709e-05
full,1,72,1.781634,1.940491591203105e-05
full,1,73,1.091292,1.937904269081501e-05
full,1,74,1.447535,1.9353169469598967e-05
full,1,75,0.988011,1.9327296248382924e-05
full,1,76,2.027298,1.9301423027166882e-05
full,1,77,1.005908,1.9275549805950842e-05
full,1,78,1.486251,1.9249676584734803e-05
full,1,79,2.259706,1.922380336351876e-05
full,1,80,1.159818,1.9197930142302718e-05
full,1,81,1.185263,1.9172056921086678e-05
full,1,82,0.760369,1.9146183699870636e-05
full,1,83,1.267887,1.9120310478654593e-05
full,1,84,0.864857,1.909443725743855e-05
full,1,85,1.624045,1.906856403622251e-05
full,1,86,1.021092,1.904269081500647e-05
full,1,87,0.794497,1.901681759379043e-05
full,1,88,1.520366,1.8990944372574386e-05
full,1,89,0.875411,1.8965071151358347e-05
full,1,90,0.644446,1.8939197930142304e-05
full,1,91,1.258244,1.8913324708926265e-05
full,1,92,0.710633,1.8887451487710222e-05
full,1,93,0.579212,1.886157826649418e-05
full,1,94,1.104814,1.883570504527814e-05
full,1,95,1.156142,1.8809831824062097e-05
full,1,96,1.073443,1.8783958602846054e-05
full,1,97,1.357224,1.8758085381630015e-05
full,1,98,1.029551,1.8732212160413976e-05
full,1,99,1.048593,1.8706338939197933e-05
full,1,100,0.712652,1.868046571798189e-05
full,1,101,0.691317,1.8654592496765847e-05
full,1,102,0.658106,1.8628719275549808e-05
full,1,103,0.491554,1.8602846054333765e-05
full,1,104,0.830713,1.8576972833117726e-05
full,1,105,0.547301,1.8551099611901683e-05
full,1,106,1.270907,1.8525226390685644e-05
full,1,107,1.404019,1.84993531694696e-05
full,1,108,1.661441,1.847347994825356e-05
full,1,109,1.05801,1.8447606727037516e-05
full,1,110,2.175969,1.8421733505821476e-05
full,1,111,0.643141,1.8395860284605437e-05
full,1,112,0.570746,1.8369987063389394e-05
full,1,113,0.744899,1.834411384217335e-05
full,1,114,0.723012,1.8318240620957312e-05
full,1,115,0.923277,1.829236739974127e-05
full,1,116,1.565971,1.8266494178525227e-05
full,1,117,1.034916,1.8240620957309187e-05
full,1,118,0.65748,1.8214747736093145e-05
full,1,119,1.415978,1.8188874514877105e-05
full,1,120,0.726038,1.8163001293661063e-05
full,1,121,1.076117,1.813712807244502e-05
full,1,122,0.917462,1.8111254851228977e-05
full,1,123,0.564095,1.8085381630012938e-05
full,1,124,0.718782,1.80595084087969e-05
full,1,125,1.462014,1.8033635187580856e-05
full,1,126,1.308989,1.8007761966364813e-05
full,1,127,1.008528,1.7981888745148774e-05
full,1,128,1.167604,1.795601552393273e-05
full,1,129,0.757633,1.7930142302716688e-05
full,1,130,0.591195,1.790426908150065e-05
full,1,131,0.776335,1.7878395860284606e-05
full,1,132,0.715546,1.7852522639068567e-05
full,1,133,0.539978,1.7826649417852524e-05
full,1,134,0.650456,1.780077619663648e-05
full,1,135,0.539268,1.7774902975420442e-05
full,1,136,0.500366,1.7749029754204403e-05
full,1,137,1.18948,1.772315653298836e-05
full,2,138,1.090732,1.7697283311772317e-05
full,2,139,0.484696,1.7671410090556274e-05
full,2,140,0.748376,1.7645536869340235e-05
full,2,141,1.075663,1.7619663648124192e-05
full,2,142,0.779685,1.759379042690815e-05
full,2,143,0.374553,1.756791720569211e-05
full,2,144,0.644678,1.754204398447607e-05
full,2,145,0.749813,1.7516170763260028e-05
full,2,146,0.812642,1.7490297542043985e-05
full,2,147,0.748655,1.7464424320827943e-05
full,2,148,1.57976,1.7438551099611903e-05
full,2,149,0.955889,1.7412677878395864e-05
full,2,150,0.59231,1.738680465717982e-05
full,2,151,0.618443,1.736093143596378e-05
full,2,152,0.404033,1.733505821474774e-05
full,2,153,1.062566,1.7309184993531696e-05
full,2,154,0.603905,1.7283311772315654e-05
full,2,155,0.82579,1.725743855109961e-05
full,2,156,0.724626,1.723156532988357e-05
full,2,157,0.641528,1.7205692108667532e-05
full,2,158,1.174841,1.717981888745149e-05
full,2,159,0.486223,1.7153945666235447e-05
full,2,160,0.383861,1.7128072445019407e-05
full,2,161,1.27734,1.7102199223803365e-05
full,2,162,0.527865,1.7076326002587325e-05
full,2,163,0.33835,1.7050452781371283e-05
full,2,164,0.864973,1.702457956015524e-05
full,2,165,0.50973,1.69987063389392e-05
full,2,166,0.912639,1.6972833117723158e-05
full,2,167,0.793602,1.6946959896507115e-05
full,2,168,0.504365,1.6921086675291072e-05
full,2,169,0.357152,1.6895213454075033e-05
full,2,170,0.497644,1.6869340232858994e-05
full,2,171,0.487644,1.684346701164295e-05
full,2,172,0.292351,1.6817593790426908e-05
full,2,173,0.458605,1.679172056921087e-05
full,2,174,0.66781,1.6765847347994826e-05
full,2,175,0.377034,1.6739974126778787e-05
full,2,176,0.468652,1.6714100905562744e-05
full,2,177,0.942247,1.66882276843467e-05
full,2,178,0.747615,1.6662354463130662e-05
full,2,179,0.58724,1.663648124191462e-05
full,2,180,0.462118,1.6610608020698577e-05
full,2,181,1.14454,1.6584734799482537e-05
full,2,182,0.378949,1.6558861578266498e-05
full,2,183,0.356246,1.6532988357050455e-05
full,2,184,0.636443,1.6507115135834412e-05
full,2,185,0.277605,1.648124191461837e-05
full,2,186,0.407075,1.645536869340233e-05
full,2,187,0.501399,1.6429495472186288e-05
full,2,188,0.266875,1.6403622250970248e-05
full,2,189,0.392792,1.6377749029754206e-05
full,2,190,0.450744,1.6351875808538166e-05
full,2,191,1.060002,1.6326002587322123e-05
full,2,192,1.251193,1.630012936610608e-05
full,2,193,0.291214,1.6274256144890038e-05
full,2,194,0.402257,1.6248382923674e-05
full,2,195,1.766669,1.622250970245796e-05
full,2,196,0.640061,1.6196636481241917e-05
full,2,197,0.678118,1.6170763260025874e-05
full,2,198,0.515615,1.6144890038809835e-05
full,2,199,0.605726,1.6119016817593792e-05
full,2,200,0.354047,1.609314359637775e-05
full,2,201,0.83923,1.606727037516171e-05
full,2,202,0.285278,1.6041397153945667e-05
full,2,203,1.002697,1.6015523932729628e-05
full,2,204,0.592625,1.5989650711513585e-05
full,2,205,0.331886,1.5963777490297542e-05
full,2,206,0.863468,1.59379042690815e-05
full,2,207,0.42628,1.591203104786546e-05
full,2,208,0.686972,1.588615782664942e-05
full,2,209,0.967035,1.5860284605433378e-05
full,2,210,1.240736,1.5834411384217335e-05
full,2,211,0.662386,1.5808538163001296e-05
full,2,212,0.519979,1.5782664941785253e-05
full,2,213,0.316543,1.575679172056921e-05
full,2,214,0.423343,1.573091849935317e-05
full,2,215,0.460795,1.570504527813713e-05
full,2,216,0.761238,1.567917205692109e-05
full,2,217,0.797506,1.5653298835705046e-05
full,2,218,0.917944,1.5627425614489004e-05
full,2,219,0.491108,1.5601552393272964e-05
full,2,220,1.10873,1.5575679172056925e-05
full,2,221,0.612304,1.5549805950840882e-05
full,2,222,0.292673,1.552393272962484e-05
full,2,223,0.420583,1.5498059508408797e-05
full,2,224,0.567804,1.5472186287192757e-05
full,2,225,0.36059,1.5446313065976715e-05
full,2,226,0.592651,1.5420439844760672e-05
full,2,227,0.768577,1.5394566623544633e-05
full,2,228,0.352928,1.5368693402328593e-05
full,2,229,0.607675,1.534282018111255e-05
full,2,230,0.360228,1.5316946959896508e-05
full,2,231,0.674988,1.5291073738680465e-05
full,2,232,0.990157,1.5265200517464426e-05
full,2,233,1.232701,1.5239327296248385e-05
full,2,234,0.260966,1.5213454075032344e-05
full,2,235,0.445269,1.5187580853816301e-05
full,2,236,0.322443,1.516170763260026e-05
full,2,237,0.717114,1.5135834411384219e-05
full,2,238,0.606048,1.5109961190168176e-05
full,2,239,0.603509,1.5084087968952135e-05
full,2,240,0.251402,1.5058214747736096e-05
full,2,241,0.772503,1.5032341526520053e-05
full,2,242,0.374598,1.5006468305304012e-05
full,2,243,0.971473,1.498059508408797e-05
full,2,244,0.564358,1.4954721862871928e-05
full,2,245,0.474322,1.4928848641655887e-05
full,2,246,0.626744,1.4902975420439846e-05
full,2,247,0.374119,1.4877102199223805e-05
full,2,248,0.564387,1.4851228978007764e-05
full,2,249,0.321767,1.4825355756791721e-05
full,2,250,0.599343,1.479948253557568e-05
full,2,251,0.604835,1.4773609314359637e-05
full,2,252,0.577329,1.4747736093143598e-05
full,2,253,0.386115,1.4721862871927557e-05
full,2,254,0.684025,1.4695989650711514e-05
full,2,255,0.435995,1.4670116429495473e-05
full,2,256,0.511488,1.4644243208279432e-05
full,2,257,0.414648,1.461836998706339e-05
full,2,258,0.333922,1.4592496765847349e-05
full,2,259,0.362812,1.456662354463131e-05
full,2,260,0.376589,1.4540750323415266e-05
full,2,261,0.531284,1.4514877102199225e-05
full,2,262,0.593463,1.4489003880983183e-05
full,2,263,0.334405,1.4463130659767142e-05
full,2,264,0.322081,1.44372574385511e-05
full,2,265,0.299822,1.4411384217335061e-05
full,2,266,0.250938,1.4385510996119019e-05
full,2,267,0.339473,1.4359637774902977e-05
full,2,268,0.44373,1.4333764553686935e-05
full,2,269,0.46774,1.4307891332470894e-05
full,2,270,0.398797,1.4282018111254851e-05
full,2,271,0.675794,1.425614489003881e-05
full,2,272,0.475406,1.423027166882277e-05
full,2,273,0.2786,1.4204398447606728e-05
full,2,274,0.384813,1.4178525226390687e-05
full,3,275,0.726148,1.4152652005174646e-05
full,3,276,0.589717,1.4126778783958603e-05
full,3,277,1.020658,1.4100905562742562e-05
full,3,278,0.312896,1.4075032341526523e-05
full,3,279,0.485443,1.404915912031048e-05
full,3,280,1.261959,1.4023285899094439e-05
full,3,281,0.370936,1.3997412677878396e-05
