mode,metric,mean,std,ci_95_low,ci_95_high,n_folds
is,micro_f1,0.853515,0.010734,0.845836,0.861193,10
is,macro_f1,0.807343,0.018383,0.794192,0.820493,10
is,accuracy,0.853515,0.010734,0.845836,0.861193,10
is,hard_slice_macro_f1,0.469599,0.090969,0.404523,0.534675,10
cl,micro_f1,0.799126,0.016481,0.787336,0.810916,10
cl,macro_f1,0.734031,0.021850,0.718400,0.749662,10
cl,accuracy,0.799126,0.016481,0.787336,0.810916,10
cl,hard_slice_macro_f1,0.355940,0.057343,0.314919,0.396961,10
is_cl,micro_f1,0.768894,0.013992,0.758885,0.778903,10
is_cl,macro_f1,0.699445,0.017134,0.687188,0.711702,10
is_cl,accuracy,0.768894,0.013992,0.758885,0.778903,10
is_cl,hard_slice_macro_f1,0.358152,0.057517,0.317006,0.399297,10
