phase,epoch,step,loss,lr
full,1,1,2.500649,2.702702702702703e-07
full,1,2,2.393826,5.405405405405406e-07
full,1,3,1.283323,8.108108108108109e-07
full,1,4,1.695319,1.0810810810810812e-06
full,1,5,1.791758,1.3513513513513515e-06
full,1,6,1.952518,1.6216216216216219e-06
full,1,7,1.516147,1.8918918918918922e-06
full,1,8,2.569597,2.1621621621621623e-06
full,1,9,1.752213,2.432432432432433e-06
full,1,10,2.023748,2.702702702702703e-06
full,1,11,2.156215,2.9729729729729736e-06
full,1,12,2.131386,3.2432432432432437e-06
full,1,13,2.210788,3.513513513513514e-06
full,1,14,1.934479,3.7837837837837844e-06
full,1,15,2.041374,4.0540540540540545e-06
full,1,16,1.749902,4.324324324324325e-06
full,1,17,1.053933,4.594594594594596e-06
full,1,18,1.431306,4.864864864864866e-06
full,1,19,2.574058,5.135135135135135e-06
full,1,20,2.417255,5.405405405405406e-06
full,1,21,1.538083,5.675675675675676e-06
full,1,22,2.93727,5.945945945945947e-06
full,1,23,2.73816,6.2162162162162164e-06
full,1,24,1.54531,6.486486486486487e-06
full,1,25,1.852599,6.7567567567567575e-06
full,1,26,1.729304,7.027027027027028e-06
full,1,27,2.992623,7.297297297297298e-06
full,1,28,2.008015,7.567567567567569e-06
full,1,29,1.803263,7.837837837837838e-06
full,1,30,1.758399,8.108108108108109e-06
full,1,31,1.722637,8.378378378378378e-06
full,1,32,1.621278,8.64864864864865e-06
full,1,33,2.660459,8.91891891891892e-06
full,1,34,1.719988,9.189189189189191e-06
full,1,35,1.556901,9.45945945945946e-06
full,1,36,1.862841,9.729729729729732e-06
full,1,37,1.526487,1e-05
full,1,38,1.104643,1.027027027027027e-05
full,1,39,1.292725,1.0540540540540541e-05
full,1,40,1.751361,1.0810810810810812e-05
full,1,41,1.471309,1.1081081081081081e-05
full,1,42,1.182244,1.1351351351351352e-05
full,1,43,2.47593,1.1621621621621622e-05
full,1,44,1.808027,1.1891891891891894e-05
full,1,45,3.794844,1.2162162162162164e-05
full,1,46,2.538978,1.2432432432432433e-05
full,1,47,1.846644,1.2702702702702702e-05
full,1,48,1.847456,1.2972972972972975e-05
full,1,49,1.399812,1.3243243243243244e-05
full,1,50,1.172149,1.3513513513513515e-05
full,1,51,1.196284,1.3783783783783784e-05
full,1,52,2.510417,1.4054054054054055e-05
full,1,53,1.667928,1.4324324324324326e-05
full,1,54,2.140592,1.4594594594594596e-05
full,1,55,1.416655,1.4864864864864865e-05
full,1,56,3.560628,1.5135135135135138e-05
full,1,57,1.060848,1.540540540540541e-05
full,1,58,2.395966,1.5675675675675676e-05
full,1,59,2.283198,1.5945945945945947e-05
full,1,60,2.107867,1.6216216216216218e-05
full,1,61,1.443225,1.648648648648649e-05
full,1,62,2.129699,1.6756756756756757e-05
full,1,63,1.062366,1.7027027027027028e-05
full,1,64,1.489628,1.72972972972973e-05
full,1,65,2.483934,1.756756756756757e-05
full,1,66,1.037875,1.783783783783784e-05
full,1,67,0.952013,1.8108108108108108e-05
full,1,68,0.984008,1.8378378378378383e-05
full,1,69,2.055121,1.864864864864865e-05
full,1,70,0.948471,1.891891891891892e-05
full,1,71,1.817174,1.918918918918919e-05
full,1,72,1.682099,1.9459459459459463e-05
full,1,73,1.137405,1.972972972972973e-05
full,1,74,1.614673,2e-05
full,1,75,1.62522,1.9982964224872234e-05
full,1,76,0.949181,1.9965928449744464e-05
full,1,77,0.964445,1.9948892674616697e-05
full,1,78,0.720464,1.993185689948893e-05
full,1,79,0.880651,1.9914821124361162e-05
