event,phase,epoch,step,loss,lr,val_macro_f1,val_micro_f1,val_f1_weighted,val_accuracy,avg_seq_len,compute_proxy
train_step,full,1,1,1.976781,2.702702702702703e-07,,,,,143.71875,143.71875
train_step,full,1,2,1.771807,5.405405405405406e-07,,,,,142.40625,284.8125
train_step,full,1,3,2.758784,8.108108108108109e-07,,,,,138.875,416.625
train_step,full,1,4,2.013357,1.0810810810810812e-06,,,,,142.546875,570.1875
train_step,full,1,5,1.237901,1.3513513513513515e-06,,,,,142.53125,712.65625
train_step,full,1,6,1.974954,1.6216216216216219e-06,,,,,140.0625,840.375
train_step,full,1,7,1.398177,1.8918918918918922e-06,,,,,139.91071428571428,979.375
train_step,full,1,8,1.618895,2.1621621621621623e-06,,,,,134.265625,1074.125
train_step,full,1,9,1.576168,2.432432432432433e-06,,,,,136.25694444444446,1226.3125
train_step,full,1,10,1.174346,2.702702702702703e-06,,,,,135.521875,1355.21875
train_step,full,1,11,1.607471,2.9729729729729736e-06,,,,,137.54829545454547,1513.0312500000002
train_step,full,1,12,1.607461,3.2432432432432437e-06,,,,,139.88020833333334,1678.5625
train_step,full,1,13,1.697711,3.513513513513514e-06,,,,,140.96634615384616,1832.5625
train_step,full,1,14,2.23413,3.7837837837837844e-06,,,,,141.92633928571428,1986.96875
train_step,full,1,15,1.454985,4.0540540540540545e-06,,,,,142.37083333333334,2135.5625
train_step,full,1,16,1.758649,4.324324324324325e-06,,,,,141.90625,2270.5
train_step,full,1,17,1.889782,4.594594594594596e-06,,,,,141.55882352941177,2406.5
train_step,full,1,18,3.460964,4.864864864864866e-06,,,,,141.74131944444446,2551.34375
train_step,full,1,19,1.771352,5.135135135135135e-06,,,,,143.4983552631579,2726.46875
train_step,full,1,20,3.169095,5.405405405405406e-06,,,,,143.7734375,2875.46875
train_step,full,1,21,1.494273,5.675675675675676e-06,,,,,144.46130952380952,3033.6875
train_step,full,1,22,1.482906,5.945945945945947e-06,,,,,145.04829545454547,3191.0625000000005
train_step,full,1,23,1.828751,6.2162162162162164e-06,,,,,146.69565217391303,3373.9999999999995
train_step,full,1,24,1.383689,6.486486486486487e-06,,,,,147.74869791666666,3545.96875
train_step,full,1,25,1.709314,6.7567567567567575e-06,,,,,147.475,3686.875
train_step,full,1,26,1.596813,7.027027027027028e-06,,,,,146.83894230769232,3817.8125000000005
train_step,full,1,27,1.936946,7.297297297297298e-06,,,,,146.89236111111111,3966.09375
