mode,metric,mean,std,ci_95_low,ci_95_high,n_folds
raw,micro_f1,0.880240,0.011244,0.872197,0.888284,10
raw,macro_f1,0.831238,0.027406,0.811633,0.850843,10
raw,f1_weighted,0.879594,0.011556,0.871328,0.887861,10
raw,accuracy,0.880240,0.011244,0.872197,0.888284,10
raw,hard_slice_macro_f1,0.576465,0.053640,0.538093,0.614837,10
raw,avg_seq_len,145.563545,0.436070,145.251599,145.875491,10
raw,compute_proxy,181663.304397,544.215531,181273.996058,182052.612735,10
raw,best_val_macro_f1,0.835386,0.018109,0.822432,0.848341,10
raw,steps_to_best_val,1060.800000,206.841217,912.834707,1208.765293,10
is,micro_f1,0.867804,0.013471,0.858167,0.877440,10
is,macro_f1,0.822581,0.028458,0.802224,0.842938,10
is,f1_weighted,0.867408,0.013516,0.857739,0.877076,10
is,accuracy,0.867804,0.013471,0.858167,0.877440,10
is,hard_slice_macro_f1,0.531091,0.061285,0.487250,0.574931,10
is,avg_seq_len,146.137076,0.984147,145.433060,146.841092,10
is,compute_proxy,120124.676411,808.968582,119545.975149,120703.377673,10
is,best_val_macro_f1,0.815901,0.017338,0.803498,0.828304,10
is,steps_to_best_val,739.800000,132.354574,645.119241,834.480759,10
cl,micro_f1,0.827915,0.015503,0.816824,0.839005,10
cl,macro_f1,0.761832,0.022142,0.745992,0.777672,10
cl,f1_weighted,0.831841,0.015898,0.820468,0.843214,10
cl,accuracy,0.827915,0.015503,0.816824,0.839005,10
cl,hard_slice_macro_f1,0.419744,0.035134,0.394611,0.444878,10
cl,avg_seq_len,144.545547,0.634459,144.091682,144.999411,10
cl,compute_proxy,111589.162214,489.802267,111238.778780,111939.545648,10
cl,best_val_macro_f1,0.759741,0.011587,0.751452,0.768029,10
cl,steps_to_best_val,772.000000,0.000000,772.000000,772.000000,10
is_cl,micro_f1,0.800969,0.011128,0.793009,0.808930,10
is_cl,macro_f1,0.727220,0.017880,0.714430,0.740011,10
is_cl,f1_weighted,0.807397,0.009968,0.800266,0.814527,10
is_cl,accuracy,0.800969,0.011128,0.793009,0.808930,10
is_cl,hard_slice_macro_f1,0.397069,0.026296,0.378257,0.415880,10
is_cl,avg_seq_len,144.176243,1.320900,143.231327,145.121158,10
is_cl,compute_proxy,73212.546557,713.166974,72702.377637,73722.715477,10
is_cl,best_val_macro_f1,0.726401,0.018623,0.713079,0.739723,10
is_cl,steps_to_best_val,507.800000,1.988858,506.377257,509.222743,10
b1,micro_f1,0.831456,0.010929,0.823637,0.839274,10
b1,macro_f1,0.771962,0.017210,0.759651,0.784274,10
b1,f1_weighted,0.835027,0.011467,0.826824,0.843230,10
b1,accuracy,0.831456,0.010929,0.823637,0.839274,10
b1,hard_slice_macro_f1,0.386342,0.044704,0.354363,0.418321,10
b1,avg_seq_len,144.808077,0.493796,144.454836,145.161317,10
b1,compute_proxy,114687.996598,391.086714,114408.230016,114967.763180,10
b1,best_val_macro_f1,0.767034,0.016781,0.755030,0.779039,10
b1,steps_to_best_val,792.000000,0.000000,792.000000,792.000000,10
