mode,metric,mean,std,ci_95_low,ci_95_high,n_folds
cl,micro_f1,0.827915,0.015503,0.816824,0.839005,10
cl,macro_f1,0.761832,0.022142,0.745992,0.777672,10
cl,f1_weighted,0.831841,0.015898,0.820468,0.843214,10
cl,accuracy,0.827915,0.015503,0.816824,0.839005,10
cl,hard_slice_macro_f1,0.419744,0.035134,0.394611,0.444878,10
cl,avg_seq_len,144.545547,0.634459,144.091682,144.999411,10
cl,compute_proxy,111589.162214,489.802267,111238.778780,111939.545648,10
cl,best_val_macro_f1,0.759741,0.011587,0.751452,0.768029,10
cl,steps_to_best_val,772.000000,0.000000,772.000000,772.000000,10
is_cl,micro_f1,0.800969,0.011128,0.793009,0.808930,10
is_cl,macro_f1,0.727220,0.017880,0.714430,0.740011,10
is_cl,f1_weighted,0.807397,0.009968,0.800266,0.814527,10
is_cl,accuracy,0.800969,0.011128,0.793009,0.808930,10
is_cl,hard_slice_macro_f1,0.397069,0.026296,0.378257,0.415880,10
is_cl,avg_seq_len,144.176243,1.320900,143.231327,145.121158,10
is_cl,compute_proxy,73212.546557,713.166974,72702.377637,73722.715477,10
is_cl,best_val_macro_f1,0.726401,0.018623,0.713079,0.739723,10
is_cl,steps_to_best_val,507.800000,1.988858,506.377257,509.222743,10
