mode,metric,mean,std,ci_95_low,ci_95_high,n_folds
cl,micro_f1,0.883778,0.014409,0.873470,0.894086,10
cl,macro_f1,0.837021,0.026708,0.817915,0.856126,10
cl,f1_weighted,0.883286,0.014307,0.873052,0.893521,10
cl,accuracy,0.883778,0.014409,0.873470,0.894086,10
cl,hard_slice_macro_f1,0.561641,0.075749,0.507453,0.615829,10
cl,avg_seq_len,145.396798,0.439862,145.082140,145.711456,10
cl,compute_proxy,594439.990556,1746.080334,593190.919931,595689.061182,10
cl,best_val_macro_f1,0.833376,0.019882,0.819153,0.847599,10
cl,steps_to_best_val,3277.200000,540.031439,2890.884780,3663.515220,10
is_cl,micro_f1,0.872188,0.012366,0.863342,0.881034,10
is_cl,macro_f1,0.816460,0.027228,0.796982,0.835938,10
is_cl,f1_weighted,0.871932,0.012667,0.862871,0.880994,10
is_cl,accuracy,0.872188,0.012366,0.863342,0.881034,10
is_cl,hard_slice_macro_f1,0.568945,0.069983,0.518883,0.619008,10
is_cl,avg_seq_len,145.934470,1.005823,145.214947,146.653992,10
is_cl,compute_proxy,391482.890068,2592.692147,389628.189836,393337.590301,10
is_cl,best_val_macro_f1,0.820722,0.025318,0.802610,0.838833,10
is_cl,steps_to_best_val,2271.600000,317.079100,2044.775276,2498.424724,10
