event,phase,epoch,step,loss,lr,val_macro_f1,val_micro_f1,val_f1_weighted,val_accuracy,avg_seq_len,compute_proxy
train_step,easy,1,1,0.709898,5e-06,,,,,146.34375,146.34375
train_step,easy,1,2,0.703979,1e-05,,,,,137.84375,275.6875
train_step,easy,1,3,0.713625,1.5000000000000002e-05,,,,,129.5,388.5
train_step,easy,1,4,0.700307,2e-05,,,,,132.6640625,530.65625
train_step,easy,1,5,0.695769,1.9722222222222224e-05,,,,,131.50625,657.53125
train_step,easy,1,6,0.67137,1.9444444444444445e-05,,,,,131.25,787.5
train_step,easy,1,7,0.717196,1.916666666666667e-05,,,,,133.83482142857142,936.8437499999999
train_step,easy,1,8,0.64221,1.888888888888889e-05,,,,,133.8515625,1070.8125
train_step,easy,1,9,0.658728,1.8611111111111114e-05,,,,,134.00347222222223,1206.03125
train_step,easy,1,10,0.691938,1.8333333333333333e-05,,,,,132.865625,1328.65625
train_step,easy,1,11,0.628437,1.8055555555555558e-05,,,,,132.5994318181818,1458.59375
train_step,easy,1,12,0.648791,1.7777777777777777e-05,,,,,131.16927083333334,1574.03125
train_step,easy,1,13,0.606448,1.7500000000000002e-05,,,,,129.64423076923077,1685.375
train_step,easy,1,14,0.606428,1.7222222222222224e-05,,,,,128.30580357142858,1796.2812500000002
train_step,easy,1,15,0.548355,1.6944444444444446e-05,,,,,127.98541666666667,1919.78125
train_step,easy,1,16,0.581591,1.6666666666666667e-05,,,,,128.34375,2053.5
train_step,easy,1,17,0.595454,1.638888888888889e-05,,,,,128.87683823529412,2190.90625
train_step,easy,1,18,0.426339,1.6111111111111115e-05,,,,,129.38368055555554,2328.90625
train_step,easy,1,19,0.449054,1.5833333333333333e-05,,,,,130.29111842105263,2475.53125
train_step,easy,1,20,0.337979,1.555555555555556e-05,,,,,128.9921875,2579.84375
train_step,easy,1,21,0.257708,1.5277777777777777e-05,,,,,127.97172619047619,2687.40625
train_step,easy,1,22,0.254005,1.5000000000000002e-05,,,,,128.06107954545453,2817.3437499999995
