event,phase,epoch,step,loss,lr,val_macro_f1,val_micro_f1,val_f1_weighted,val_accuracy,avg_seq_len,compute_proxy
train_step,clean,1,1,0.694375,6.666666666666667e-06,,,,,131.46875,131.46875
train_step,clean,1,2,0.725465,1.3333333333333333e-05,,,,,119.453125,238.90625
train_step,clean,1,3,0.728905,2e-05,,,,,121.46875,364.40625
train_step,clean,1,4,0.731555,1.9607843137254903e-05,,,,,113.640625,454.5625
train_step,clean,1,5,0.688239,1.9215686274509807e-05,,,,,117.4625,587.3125
train_step,clean,1,6,0.691316,1.8823529411764708e-05,,,,,124.15625,744.9375
train_step,clean,1,7,0.699984,1.843137254901961e-05,,,,,122.89285714285714,860.25
train_step,clean,1,8,0.671216,1.8039215686274513e-05,,,,,122.4296875,979.4375
train_step,clean,1,9,0.664095,1.7647058823529414e-05,,,,,120.27430555555556,1082.46875
train_step,clean,1,10,0.65874,1.7254901960784314e-05,,,,,119.490625,1194.90625
train_step,clean,1,11,0.647271,1.686274509803922e-05,,,,,123.86647727272727,1362.53125
train_step,clean,1,12,0.647045,1.647058823529412e-05,,,,,124.29947916666667,1491.59375
train_step,clean,1,13,0.633559,1.607843137254902e-05,,,,,125.78846153846153,1635.25
train_step,clean,1,14,0.584979,1.568627450980392e-05,,,,,126.86607142857143,1776.125
train_step,clean,1,15,0.557388,1.5294117647058822e-05,,,,,127.19166666666666,1907.875
train_step,clean,1,16,0.515138,1.4901960784313726e-05,,,,,128.501953125,2056.03125
train_step,clean,1,17,0.541896,1.4509803921568629e-05,,,,,130.2077205882353,2213.53125
train_step,clean,1,18,0.38018,1.4117647058823532e-05,,,,,130.80729166666666,2354.53125
train_step,clean,1,19,0.380579,1.3725490196078432e-05,,,,,130.79605263157896,2485.125
train_step,clean,1,20,0.339228,1.3333333333333333e-05,,,,,130.0265625,2600.53125
train_step,clean,1,21,0.23187,1.2941176470588238e-05,,,,,130.79017857142858,2746.5937500000005
train_step,clean,1,22,0.159485,1.2549019607843138e-05,,,,,131.29545454545453,2888.4999999999995
train_step,clean,1,23,0.222762,1.215686274509804e-05,,,,,131.9388586956522,3034.5937500000005
train_step,clean,1,24,0.147735,1.1764705882352942e-05,,,,,131.34765625,3152.34375
train_step,clean,1,25,0.102093,1.1372549019607844e-05,,,,,131.165,3279.125
train_step,clean,1,26,0.125303,1.0980392156862747e-05,,,,,131.1778846153846,3410.625
train_step,clean,1,27,0.05091,1.0588235294117648e-05,,,,,131.06474820143885,3538.748201438849
epoch_end,clean,1,27,0.489678,1.0588235294117648e-05,0.9311107709173873,0.9311111111111111,0.9311107709173874,0.9311111111111111,131.06474820143885,3538.748201438849
train_step,clean,2,28,0.030474,1.0196078431372549e-05,,,,,131.02771362586606,3668.77598152425
train_step,clean,2,29,0.029778,9.803921568627451e-06,,,,,130.88752783964364,3795.7383073496653
train_step,clean,2,30,0.028073,9.411764705882354e-06,,,,,130.81612903225806,3924.483870967742
train_step,clean,2,31,0.014688,9.019607843137256e-06,,,,,131.04677754677755,4062.4501039501038
train_step,clean,2,32,0.01837,8.627450980392157e-06,,,,,131.14788732394365,4196.732394366197
train_step,clean,2,33,0.01814,8.23529411764706e-06,,,,,130.56432748538012,4308.622807017544
train_step,clean,2,34,0.019217,7.84313725490196e-06,,,,,130.29584120982986,4430.058601134215
train_step,clean,2,35,0.042867,7.450980392156863e-06,,,,,129.99724770642203,4549.903669724771
train_step,clean,2,36,0.023858,7.058823529411766e-06,,,,,130.08823529411765,4683.176470588235
train_step,clean,2,37,0.018813,6.666666666666667e-06,,,,,130.79636048526862,4839.465337954939
train_step,clean,2,38,0.009187,6.274509803921569e-06,,,,,131.20573355817876,4985.817875210793
train_step,clean,2,39,0.006355,5.882352941176471e-06,,,,,131.65270935960592,5134.455665024631
train_step,clean,2,40,0.006636,5.4901960784313735e-06,,,,,131.368,5254.719999999999
train_step,clean,2,41,0.005224,5.098039215686274e-06,,,,,131.34321372854913,5385.071762870514
train_step,clean,2,42,0.004762,4.705882352941177e-06,,,,,130.95890410958904,5500.273972602739
train_step,clean,2,43,0.004304,4.313725490196079e-06,,,,,131.4294205052006,5651.465081723625
train_step,clean,2,44,0.004347,3.92156862745098e-06,,,,,130.7764876632801,5754.165457184325
train_step,clean,2,45,0.004826,3.529411764705883e-06,,,,,130.8078014184397,5886.351063829787
train_step,clean,2,46,0.003786,3.1372549019607846e-06,,,,,130.7628294036061,6015.090152565881
train_step,clean,2,47,0.003566,2.7450980392156867e-06,,,,,130.59972862957937,6138.18724559023
train_step,clean,2,48,0.007973,2.3529411764705885e-06,,,,,130.67861885790174,6272.573705179284
train_step,clean,2,49,0.003315,1.96078431372549e-06,,,,,130.77243172951884,6407.849154746424
