event,phase,epoch,step,loss,lr,val_macro_f1,val_micro_f1,val_f1_weighted,val_accuracy,avg_seq_len,compute_proxy
train_step,full,1,1,0.726482,4.444444444444445e-07,,,,,139.625,139.625
train_step,full,1,2,0.705842,8.88888888888889e-07,,,,,130.15625,260.3125
train_step,full,1,3,0.699766,1.3333333333333334e-06,,,,,118.73958333333333,356.21875
train_step,full,1,4,0.720827,1.777777777777778e-06,,,,,120.4921875,481.96875
train_step,full,1,5,0.702269,2.222222222222222e-06,,,,,116.65,583.25
train_step,full,1,6,0.725995,2.666666666666667e-06,,,,,117.0,702.0
train_step,full,1,7,0.674053,3.1111111111111116e-06,,,,,120.75446428571429,845.28125
train_step,full,1,8,0.755926,3.555555555555556e-06,,,,,119.20703125,953.65625
train_step,full,1,9,0.696672,4.000000000000001e-06,,,,,121.55902777777777,1094.03125
train_step,full,1,10,0.677695,4.444444444444444e-06,,,,,124.40625,1244.0625
train_step,full,1,11,0.702084,4.888888888888889e-06,,,,,124.48295454545455,1369.3125
train_step,full,1,12,0.673029,5.333333333333334e-06,,,,,124.953125,1499.4375
train_step,full,1,13,0.694826,5.777777777777778e-06,,,,,125.09134615384616,1626.1875
train_step,full,1,14,0.694585,6.222222222222223e-06,,,,,126.33928571428571,1768.75
train_step,full,1,15,0.709578,6.666666666666667e-06,,,,,126.37083333333334,1895.5625
train_step,full,1,16,0.713746,7.111111111111112e-06,,,,,126.654296875,2026.46875
train_step,full,1,17,0.667383,7.555555555555556e-06,,,,,126.92463235294117,2157.71875
train_step,full,1,18,0.680575,8.000000000000001e-06,,,,,128.61458333333334,2315.0625
train_step,full,1,19,0.710535,8.444444444444446e-06,,,,,128.00822368421052,2432.15625
train_step,full,1,20,0.707153,8.888888888888888e-06,,,,,127.4328125,2548.65625
train_step,full,1,21,0.689211,9.333333333333334e-06,,,,,128.26041666666666,2693.46875
train_step,full,1,22,0.689536,9.777777777777779e-06,,,,,128.47301136363637,2826.40625
train_step,full,1,23,0.683165,1.0222222222222223e-05,,,,,128.1616847826087,2947.71875
train_step,full,1,24,0.675957,1.0666666666666667e-05,,,,,128.1484375,3075.5625
train_step,full,1,25,0.693953,1.1111111111111113e-05,,,,,127.35625,3183.90625
train_step,full,1,26,0.711767,1.1555555555555556e-05,,,,,127.36538461538461,3311.5
train_step,full,1,27,0.68252,1.2e-05,,,,,128.54513888888889,3470.71875
