mode,metric,mean,std,ci_95_low,ci_95_high,n_folds
cl,micro_f1,0.978600,0.003658,0.975984,0.981216,10
cl,macro_f1,0.978599,0.003658,0.975982,0.981216,10
cl,f1_weighted,0.978599,0.003658,0.975982,0.981216,10
cl,accuracy,0.978600,0.003658,0.975984,0.981216,10
cl,hard_slice_macro_f1,0.845931,0.047838,0.811710,0.880151,10
cl,avg_seq_len,127.691271,0.837008,127.092511,128.290030,10
cl,compute_proxy,60014.897224,393.393930,59733.480159,60296.314288,10
cl,best_val_macro_f1,0.978888,0.005666,0.974835,0.982941,10
cl,steps_to_best_val,385.300000,81.668775,326.877677,443.722323,10
is_cl,micro_f1,0.977400,0.005254,0.973642,0.981158,10
is_cl,macro_f1,0.977399,0.005254,0.973641,0.981158,10
is_cl,f1_weighted,0.977399,0.005254,0.973641,0.981158,10
is_cl,accuracy,0.977400,0.005254,0.973642,0.981158,10
is_cl,hard_slice_macro_f1,0.839089,0.078833,0.782695,0.895483,10
is_cl,avg_seq_len,128.205620,1.334654,127.250866,129.160374,10
is_cl,compute_proxy,41795.032050,435.097353,41483.782154,42106.281947,10
is_cl,best_val_macro_f1,0.978222,0.007318,0.972987,0.983457,10
is_cl,steps_to_best_val,317.700000,26.246905,298.924096,336.475904,10
