mode,metric,mean,std,ci_95_low,ci_95_high,n_folds
cl,micro_f1,0.978400,0.004195,0.975399,0.981401,10
cl,macro_f1,0.978398,0.004197,0.975396,0.981401,10
cl,f1_weighted,0.978398,0.004197,0.975396,0.981401,10
cl,accuracy,0.978400,0.004195,0.975399,0.981401,10
cl,hard_slice_macro_f1,0.850609,0.039886,0.822076,0.879142,10
cl,avg_seq_len,127.691271,0.837008,127.092511,128.290030,10
cl,compute_proxy,60014.897224,393.393930,59733.480159,60296.314288,10
cl,best_val_macro_f1,0.978443,0.003636,0.975842,0.981045,10
cl,steps_to_best_val,409.500000,63.772599,363.879831,455.120169,10
is_cl,micro_f1,0.977200,0.005266,0.973433,0.980967,10
is_cl,macro_f1,0.977199,0.005267,0.973432,0.980967,10
is_cl,f1_weighted,0.977199,0.005267,0.973432,0.980967,10
is_cl,accuracy,0.977200,0.005266,0.973433,0.980967,10
is_cl,hard_slice_macro_f1,0.839722,0.074717,0.786273,0.893171,10
is_cl,avg_seq_len,128.205620,1.334654,127.250866,129.160374,10
is_cl,compute_proxy,41795.032050,435.097353,41483.782154,42106.281947,10
is_cl,best_val_macro_f1,0.977999,0.004964,0.974448,0.981550,10
is_cl,steps_to_best_val,317.700000,26.246905,298.924096,336.475904,10
