event,phase,epoch,step,loss,lr,val_macro_f1,val_micro_f1,val_f1_weighted,val_accuracy,avg_seq_len,compute_proxy
train_step,step_01,1,1,0.738586,3.3333333333333333e-06,,,,,122.875,122.875
train_step,step_01,1,2,0.748501,6.666666666666667e-06,,,,,136.765625,273.53125
train_step,step_01,1,3,0.703048,1e-05,,,,,137.73958333333334,413.21875
train_step,step_01,1,4,0.738698,1.3333333333333333e-05,,,,,131.3359375,525.34375
train_step,step_01,1,5,0.654352,1.6666666666666667e-05,,,,,133.29375,666.46875
train_step,step_01,1,6,0.709992,2e-05,,,,,135.77604166666666,814.65625
train_step,step_01,1,7,0.719413,1.981818181818182e-05,,,,,132.68303571428572,928.78125
train_step,step_01,1,8,0.676344,1.963636363636364e-05,,,,,134.765625,1078.125
train_step,step_01,1,9,0.644189,1.9454545454545457e-05,,,,,135.19791666666666,1216.78125
train_step,step_01,1,10,0.710773,1.9272727272727275e-05,,,,,131.840625,1318.40625
train_step,step_01,1,11,0.659522,1.9090909090909094e-05,,,,,130.13636363636363,1431.5
train_step,step_01,1,12,0.593498,1.8909090909090912e-05,,,,,127.85416666666667,1534.25
train_step,step_01,1,13,0.626041,1.872727272727273e-05,,,,,126.88221153846153,1649.46875
train_step,step_01,1,14,0.597483,1.8545454545454545e-05,,,,,125.49553571428571,1756.9375
train_step,step_01,1,15,0.554552,1.8363636363636367e-05,,,,,126.75,1901.25
train_step,step_01,1,16,0.470984,1.8181818181818182e-05,,,,,125.6015625,2009.625
train_step,step_01,1,17,0.613693,1.8e-05,,,,,125.09191176470588,2126.5625
train_step,step_01,1,18,0.678211,1.781818181818182e-05,,,,,124.67361111111111,2244.125
train_step,step_01,1,19,0.464884,1.7636363636363637e-05,,,,,124.46875,2364.90625
train_step,step_01,1,20,0.374583,1.7454545454545456e-05,,,,,125.0,2500.0
train_step,step_01,1,21,0.394247,1.7272727272727274e-05,,,,,125.66517857142857,2638.96875
train_step,step_01,1,22,0.254932,1.7090909090909092e-05,,,,,126.6846590909091,2787.0625
train_step,step_01,1,23,0.300799,1.690909090909091e-05,,,,,127.36413043478261,2929.375
train_step,step_01,1,24,0.273075,1.672727272727273e-05,,,,,126.06770833333333,3025.625
train_step,step_01,1,25,0.150931,1.6545454545454548e-05,,,,,125.8125,3145.3125
train_step,step_01,1,26,0.125307,1.6363636363636366e-05,,,,,126.3233173076923,3284.40625
train_step,step_01,1,27,0.109616,1.6181818181818184e-05,,,,,126.71875,3421.40625
train_step,step_01,1,28,0.100199,1.6000000000000003e-05,,,,,126.47433035714286,3541.28125
train_step,step_01,1,29,0.10432,1.5818181818181818e-05,,,,,125.73599137931035,3646.34375
train_step,step_01,1,30,0.055747,1.563636363636364e-05,,,,,126.30625,3789.1875
train_step,step_01,1,31,0.030887,1.5454545454545454e-05,,,,,126.3538306451613,3916.96875
train_step,step_01,1,32,0.032167,1.5272727272727276e-05,,,,,126.7705078125,4056.65625
train_step,step_01,1,33,0.019483,1.5090909090909091e-05,,,,,126.85606060606061,4186.25
train_step,step_01,1,34,0.013296,1.4909090909090911e-05,,,,,127.171875,4323.84375
train_step,step_01,1,35,0.027831,1.4727272727272728e-05,,,,,127.00803571428571,4445.28125
train_step,step_01,1,36,0.057378,1.4545454545454546e-05,,,,,126.27083333333333,4545.75
train_step,step_01,1,37,0.007824,1.4363636363636365e-05,,,,,125.93243243243244,4659.5
train_step,step_01,1,38,0.010919,1.4181818181818183e-05,,,,,126.46299342105263,4805.59375
train_step,step_01,1,39,0.008921,1.4e-05,,,,,126.09935897435898,4917.875
train_step,step_01,1,40,0.005619,1.381818181818182e-05,,,,,125.9015625,5036.0625
train_step,step_01,1,41,0.01527,1.3636363636363637e-05,,,,,126.10060975609755,5170.125
train_step,step_01,1,42,0.086147,1.3454545454545455e-05,,,,,126.33110119047619,5305.90625
