phase,n_samples,n_iter,train_time_s,pred_time_s,micro_f1,macro_f1,f1_weighted,accuracy,hard_slice_quantile,hard_slice_macro_f1,avg_seq_len,compute_proxy,best_val_macro_f1,best_val_epoch,steps_to_best_val
step_01,500,122,44.2071317974478,1.470165267586708,0.96,0.9599974398361495,0.9599974398361496,0.96,0.8,0.8382051558623664,129.26871794871795,15770.78358974359,0.95776088213063,2.0,122.0
step_02,500,280,47.89368150103837,1.4634420275688171,0.974,0.9739990639663028,0.9739990639663029,0.974,0.8,0.8996386993175431,129.24837625979842,36189.54535274356,0.9666625509322139,2.0,280.0
step_03,500,490,62.73735972400755,1.451661597006023,0.98,0.98,0.98,0.98,0.8,0.8507710164151883,128.90208626647893,63162.02227057468,0.9822208174473044,2.0,490.0
step_04,500,744,75.44127401150763,1.4651622772216797,0.976,0.9759984639016897,0.9759984639016898,0.976,0.8,0.8894583458948849,128.32369552389784,95472.82946977999,0.9844443676265069,1.0,617.0
step_05,500,998,75.38120127934963,1.4584781071171165,0.976,0.976,0.976,0.976,0.8,0.8282114907425081,128.0397159555081,127783.63652359707,0.9844443676265069,1.0,617.0
step_06,500,1252,75.29007925838232,1.4525299090892076,0.984,0.984,0.984,0.984,0.8,0.926090169992609,127.87096127836497,160094.44352051296,0.9844443676265069,1.0,617.0
step_07,500,1506,75.32001637946814,1.4784361878409982,0.976,0.975999615993856,0.975999615993856,0.976,0.8,0.8650472334682862,127.75913047099488,192405.25048931828,0.9844443676265069,1.0,617.0
step_08,500,1760,75.71426023822278,1.470462174154818,0.978,0.977999911999648,0.977999911999648,0.978,0.8,0.8851102941176471,127.67957809214981,224716.05744218366,0.9844443676265069,1.0,617.0
step_09,500,2014,75.47615779098123,1.466907641850412,0.978,0.977999207971487,0.9779992079714871,0.978,0.8,0.8885918003565062,127.62009155170803,257026.86438513998,0.9844443676265069,1.0,617.0
step_10,500,2268,75.53007119055837,1.4683586163446307,0.98,0.98,0.98,0.98,0.8,0.8903508771929824,127.57392915410779,289337.67132151645,0.9844443676265069,1.0,617.0
