phase,n_samples,n_iter,train_time_s,pred_time_s,micro_f1,macro_f1,f1_weighted,accuracy,hard_slice_quantile,hard_slice_macro_f1,avg_seq_len,compute_proxy,best_val_macro_f1,best_val_epoch,steps_to_best_val
step_01,500,76,34.64174680225551,1.4754315968602896,0.956,0.9559548978153629,0.955954897815363,0.956,0.8,0.88,130.37386269644335,9908.413564929695,0.9555546776232617,1.0,38.0
step_02,500,178,31.804127786308527,1.478078686632216,0.966,0.9659889804296592,0.9659889804296593,0.966,0.8,0.8493801413509443,129.37181303116148,23028.182719546745,0.973332806573957,1.0,127.0
step_03,500,316,42.201887409202754,1.4515636777505279,0.974,0.9739990639663028,0.9739990639663029,0.974,0.8,0.8470310109859547,128.96235809599682,40752.105158335,0.9799999012340802,2.0,316.0
step_04,500,490,52.5995625667274,1.4632375426590443,0.974,0.9739998959995839,0.9739998959995839,0.974,0.8,0.8650472334682862,128.1773076923077,62806.88076923077,0.9799999012340802,2.0,316.0
step_05,500,664,52.501908116042614,1.4523259792476892,0.97,0.96999699969997,0.96999699969997,0.97,0.8,0.6935648621041879,127.80470743926647,84862.32573967293,0.9799999012340802,2.0,316.0
step_06,500,838,52.48538912925869,1.4722130559384823,0.97,0.969994118847294,0.969994118847294,0.97,0.8,0.8133333333333332,127.58713879323253,106918.02230872886,0.9822222222222222,2.0,838.0
step_07,500,1012,52.47016499284655,1.4629988828673959,0.974,0.9739998959995839,0.9739998959995839,0.974,0.8,0.8306041784302653,127.44450641383156,128973.84049079753,0.9822222222222222,2.0,838.0
step_08,500,1186,52.6703966492787,1.4603305011987686,0.976,0.975999615993856,0.975999615993856,0.976,0.8,0.8957247132429613,127.34378304081201,151029.72668640304,0.9822222222222222,2.0,838.0
step_09,500,1360,52.62120543979108,1.469712857156992,0.97,0.9699989199611185,0.9699989199611186,0.97,0.8,0.8263888888888888,127.26886379350081,173085.65475916112,0.9844443676265069,1.0,1273.0
step_10,500,1534,52.56111988425255,1.4549506651237607,0.974,0.9739990639663028,0.9739990639663029,0.974,0.8,0.8176090200630077,127.21095856827654,195141.61044373622,0.9844443676265069,1.0,1273.0
