mode,metric,mean,std,ci_95_low,ci_95_high,n_folds
cl,micro_f1,0.981000,0.002708,0.979063,0.982937,10
cl,macro_f1,0.980999,0.002709,0.979062,0.982937,10
cl,f1_weighted,0.980999,0.002709,0.979062,0.982937,10
cl,accuracy,0.981000,0.002708,0.979063,0.982937,10
cl,hard_slice_macro_f1,0.841994,0.082828,0.782742,0.901246,10
cl,avg_seq_len,126.895121,0.693346,126.399131,127.391110,10
cl,compute_proxy,286607.444079,2055.697452,285136.886710,288078.001447,10
cl,best_val_macro_f1,0.984444,0.004566,0.981178,0.987711,10
cl,steps_to_best_val,1483.900000,641.415700,1025.058850,1942.741150,10
is_cl,micro_f1,0.976400,0.004502,0.973180,0.979620,10
is_cl,macro_f1,0.976399,0.004502,0.973178,0.979620,10
is_cl,f1_weighted,0.976399,0.004502,0.973178,0.979620,10
is_cl,accuracy,0.976400,0.004502,0.973180,0.979620,10
is_cl,hard_slice_macro_f1,0.850678,0.042172,0.820510,0.880846,10
is_cl,avg_seq_len,127.271175,1.228193,126.392579,128.149771,10
is_cl,compute_proxy,195031.057311,2039.307661,193572.224492,196489.890130,10
is_cl,best_val_macro_f1,0.981778,0.006180,0.977357,0.986198,10
is_cl,steps_to_best_val,881.700000,381.069270,609.099466,1154.300534,10
